String,Local,Quantum,Local + 1,Quantum - (Local + 1)
'504421042013',0.5172,0.4081,0.2872,0.12090000000000001
'344054511122',0.5,0.3217,0.0,0.3217
'423211414554',0.5192,0.4078,0.3072,0.10060000000000002
'504541421254',0.5217,0.4144,0.3234,0.09099999999999997
'444042523550',0.5,0.4102,0.3114,0.0988
'100355403515',0.5,0.3786,0.2727,0.1059
'405312215531',0.525,0.4125,0.3087,0.1038
'343511515130',0.5,0.3859,0.2222,0.1637
'303223331254',0.527,0.4195,0.3313,0.0882
'554010324543',0.525,0.4184,0.3234,0.09499999999999997
'341151245313',0.525,0.4077,0.3066,0.10110000000000002
'223333220044',0.5,0.4012,0.2857,0.11549999999999999
'345034053312',0.5192,0.4112,0.2958,0.1154
'233041042302',0.5,0.408,0.3,0.10799999999999998
'332044253255',0.5217,0.4111,0.3061,0.10500000000000004
'244222402311',0.5,0.3996,0.2565,0.1431
'011505311512',0.526,0.4112,0.3234,0.08779999999999999
'530222013442',0.5,0.4038,0.2812,0.12259999999999999
'451402422140',0.5,0.4018,0.2979,0.10389999999999999
'255353022222',0.5,0.3921,0.253,0.1391
'332132211443',0.5156,0.3988,0.2863,0.11249999999999999
'530111524421',0.5172,0.375,0.2727,0.1023
'112001324432',0.5,0.4172,0.2835,0.13370000000000004
'234311134254',0.525,0.4105,0.312,0.09849999999999998
'150321420201',0.5263,0.4284,0.3375,0.09089999999999998
'354510215040',0.525,0.4107,0.3061,0.10460000000000003
'301000215021',0.5172,0.408,0.2958,0.11219999999999997
'501522505340',0.5233,0.4103,0.3214,0.08889999999999998
'143152254141',0.5,0.4014,0.2937,0.10769999999999996
'200503454133',0.5,0.3786,0.2308,0.1478
'241450353004',0.525,0.418,0.32,0.09799999999999998
'523345231302',0.5,0.3998,0.2791,0.12069999999999997
'550103501503',0.525,0.415,0.3082,0.1068
'105521433311',0.5172,0.4075,0.2937,0.11379999999999996
'504305152410',0.5,0.41,0.256,0.15399999999999997
'412542404243',0.5217,0.425,0.3221,0.10289999999999999
'013513115102',0.5,0.3711,0.2202,0.15089999999999998
'523512001534',0.5238,0.4093,0.3066,0.10270000000000001
'041230510540',0.5217,0.425,0.3243,0.10070000000000001
'213242050105',0.5231,0.4086,0.3158,0.0928
'150505453233',0.5217,0.3879,0.2886,0.0993
'425145541112',0.5172,0.4124,0.3111,0.1013
'512202103200',0.5172,0.4017,0.2835,0.11820000000000003
'522240004022',0.5,0.4124,0.3061,0.1063
'134523510103',0.5185,0.4145,0.32,0.09449999999999997
'252543404535',0.5,0.3659,0.15,0.2159
'224250205051',0.5185,0.4071,0.2903,0.11680000000000001
